_id,id,asset_id,location,alternative_name,type,location_details,url,address,PostedDate,AssetName,Reason,Comments,Status,geometry,,,,,,,,,,Type of Fountains,,,
44,127,2324,Fairmount Park,Fairmount Park Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the pathway outside the front entrance to the Community Centre.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=127,1725 Gerrard St  E ,2026-05-28T12:52:41,Fairmount Park Drinking Water Station,Maintenance/Repairs,Major supply line repairs,0,"{""coordinates"": [[-79.31537574, 43.67661715]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
45,232,2385,Courthouse Square Park,Courthouse Square Park Drinking Fountain,Drinking Fountain,Located on the pathway in the centre of the park.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=232,10 Court St  ,2026-05-28T12:51:46,Courthouse Square Park Drinking Fountain,Maintenance/Repairs,Service area under repair,0,"{""coordinates"": [[-79.37535674, 43.65046784]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
46,368,2402,Cloud Gardens,Cloud Gardens Bottle Filling Station,Bottle Filling Station,Located on the pathway near Richmond Street.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=368,14 Temperance St  ,2026-05-28T12:48:02,Cloud Gardens Bottle Filling Station,None,None,1,"{""coordinates"": [[-79.37991913, 43.6513202]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
47,207,2423,Charlotte Maher Park,Charlotte Maher Park Drinking Fountain,Drinking Fountain,Located on the pathway through the park close to Roehampton Avenue..,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=207,550 Roehampton Ave  ,2026-05-28T12:47:38,Charlotte Maher Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.38059163999999, 43.711620139999994]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
48,2698,2448,Budd Sugarman Park,Budd Sugarman Park Drinking Fountain,Drinking Fountain,Located on a pathway just beside Yonge Street.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2698,955 Yonge St  ,2026-05-28T12:46:56,Budd Sugarman Park Drinking Fountain,Maintenance/Repairs,DF Replacement Ongoing,0,"{""coordinates"": [[-79.38890792000001, 43.675950539999995]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
49,266,2451,Bruce Mackey Park,Bruce Mackey Park Drinking Fountain,Drinking Fountain,Located on the grassy area at the corner of Wardell and De Grassi Streets.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=266,55 Wardell St  ,2026-05-28T12:46:01,Bruce Mackey Park Drinking Fountain,Maintenance/Repairs,DF Replacement Ongoing,0,"{""coordinates"": [[-79.34622277999999, 43.66110885]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
50,231,2479,Beaty Avenue Parkette,Beaty Avenue Parkette Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the grassy area near the playground.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=231,66 Beaty Ave  ,2026-05-28T12:44:18,Beaty Avenue Parkette Drinking Water Station,Maintenance/Repairs,Curb Stop Issue,0,"{""coordinates"": [[-79.44088640999999, 43.63847954]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
51,28,80185,Sunnybrook Park,Sunnybrook Park Dog Off-Leash Area Dog Fountain,Dog Fountain,Located in the center of the dog off-leash area.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=28,1132 Leslie St  ,2026-05-28T12:16:06,Sunnybrook Park Dog Off-Leash Area Dog Fountain,None,None,1,"{""coordinates"": [[-79.36555598, 43.72207086]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
52,3853,989073,Biidaasige Park,Biidaasige Park South River Lawn Drinking Water Station,"Bottle Filling Station, Drinking Fountain",None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/biidaasige-park/,51 Commissioners St,2026-05-28T12:14:46,Biidaasige Park South River Lawn Drinking Water Station,None,None,1,"{""coordinates"": [[-79.34818984, 43.64498456]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
53,2584,103208,Sandover Park,Sandover Park Drinking Fountain,Drinking Fountain,Located east of the playground along the pathway.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2584,10 Sandover Dr,2026-05-28T12:05:11,Sandover Park Drinking Fountain,None,None,1,"{""coordinates"": [[-79.33434740999999, 43.7609969]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
54,3853,989056,Biidaasige Park,Biidaasige Park East Picnic Terrace Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located at the west end of the picnic terrace.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/biidaasige-park/,51 Commissioners St,2026-05-28T11:51:16,Biidaasige Park East Picnic Terrace Drinking Water Station,Maintenance/Repairs,Curb Stop Repair,0,"{""coordinates"": [[-79.34716255, 43.64681289]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
55,3853,989054,Biidaasige Park,Biidaasige Park North Riverside Drinking Water Station,"Bottle Filling Station, Drinking Fountain",Located on the riverside path south of the play area.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/biidaasige-park/,51 Commissioners St,2026-05-28T11:50:38,Biidaasige Park North Riverside Drinking Water Station,Maintenance/Repairs,Curb Stop Repair,0,"{""coordinates"": [[-79.3506387, 43.645267940000004]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
56,3853,989016,Biidaasige Park,Biidaasige Park East Dog Off-Leash Area Drinking Water Station,"Bottle Filling Station, Drinking Fountain, Dog Fountain",Located in the east dog off-leash area.,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/beaches-gardens-attractions/biidaasige-park/,51 Commissioners St,2026-05-28T11:48:43,Biidaasige Park East Dog Off-Leash Area Drinking Water Station,None,None,1,"{""coordinates"": [[-79.34963823, 43.6460443]], ""type"": ""MultiPoint""}",,,,,,,,,,,,,
